,Topic,Count,Name,-1,0,1,2
0,-1.0,48.0,-1_impact_model_forest_community,"('impact', 0.02732625067032889)","('water', 0.03765337652013321)","('forest', 0.1265691535168958)","('design', 0.061636906143855225)"
1,0.0,65.0,0_water_policy_impact_local,"('model', 0.02558340038944499)","('policy', 0.03112679125664345)","('management', 0.06938823821675093)","('vegetation', 0.0512091077497567)"
2,1.0,19.0,1_forest_management_wildlife_adaptive,"('forest', 0.025376951004943863)","('impact', 0.027164327215991737)","('wildlife', 0.04332492381208497)","('model', 0.041975519056557505)"
3,2.0,16.0,2_design_vegetation_model_microrefugia,"('community', 0.021332353704553983)","('local', 0.024287895960055508)","('adaptive', 0.03882767904277144)","('microrefugia', 0.03772210359266957)"
4,,,,"('risk', 0.019602097547061055)","('strategy', 0.021070705459918636)","('owner', 0.03876077798494273)","('garden', 0.037298014647484286)"
5,,,,"('condition', 0.019399316164181606)","('system', 0.020033262989515174)","('decision', 0.036151423489012256)","('ecological', 0.03662587545191358)"
6,,,,"('natural', 0.018951320383148305)","('country', 0.019123858155149217)","('fire', 0.035021132312009554)","('landscape', 0.0364536928839687)"
7,,,,"('management', 0.018661829726078268)","('knowledge', 0.018529979948012573)","('action', 0.03407925240338923)","('land', 0.035493943566117424)"
8,,,,"('policy', 0.018624803215748977)","('agricultural', 0.017653476411359694)","('knowledge', 0.032743134890964004)","('region', 0.0349144480352226)"
9,,,,"('result', 0.018134062815430882)","('need', 0.017645238918389004)","('risk', 0.029826511702289987)","('band', 0.033507712475383464)"
