,Topic,Count,Name,-1,0,1,2
0,-1.0,49.0,-1_city_urban_mitigation_heat,"('city', 0.038734216883389905)","('urban', 0.07795816072920064)","('heat', 0.14164636967172678)","('policy', 0.05006763848453698)"
1,0.0,15.0,0_urban_green_vegetation_area,"('urban', 0.03491823726552299)","('green', 0.05630240309448634)","('health', 0.1104965178657456)","('political', 0.03683413239509794)"
2,1.0,12.0,1_heat_health_group_public,"('mitigation', 0.028736219329837616)","('vegetation', 0.0544773015236441)","('group', 0.05161422289551593)","('development', 0.03648676450454029)"
3,2.0,11.0,2_policy_political_development_environmental,"('heat', 0.02721004609740035)","('area', 0.04522919028871578)","('public', 0.04536118241810197)","('environmental', 0.03434862453728127)"
4,,,,"('result', 0.02325988244894489)","('space', 0.0388481179791105)","('data', 0.043659824878512436)","('woman', 0.03409563042650283)"
5,,,,"('impact', 0.022125254036801236)","('temperature', 0.038626262645675355)","('effect', 0.04161210590122232)","('co', 0.03233273656116256)"
6,,,,"('energy', 0.020116928306830904)","('thermal', 0.03753232866442259)","('exposure', 0.040440795513391276)","('problem', 0.03161169744003802)"
7,,,,"('local', 0.019768247055631894)","('cooling', 0.037281971682024705)","('warning', 0.0392493514818934)","('issue', 0.03066878967920513)"
8,,,,"('environmental', 0.019572323520804916)","('cover', 0.034820039047403814)","('strategy', 0.0391643349658563)","('level', 0.030423162737136966)"
9,,,,"('area', 0.01947942804606143)","('surface', 0.03447079434485451)","('related', 0.035648354350335185)","('local', 0.029930751788463984)"
