,Topic,Count,Name,-1,0,1,2
0,-1.0,129.0,-1_policy_risk_decision_assessment,"('policy', 0.04231539244989586)","('planning', 0.04434536157248727)","('vulnerability', 0.11856601577085595)","('disaster', 0.10814612547985407)"
1,0.0,40.0,0_planning_institutional_process_development,"('risk', 0.03296983607879852)","('institutional', 0.03881485452230072)","('assessment', 0.06366439362603023)","('risk', 0.08908376443693683)"
2,1.0,19.0,1_vulnerability_assessment_approach_capacity,"('decision', 0.031338404589980405)","('process', 0.03346427934647605)","('approach', 0.04175546840841878)","('development', 0.04610714878011446)"
3,2.0,14.0,2_disaster_risk_development_transformation,"('assessment', 0.028458475977382193)","('development', 0.032818671206525915)","('capacity', 0.03999591569952437)","('transformation', 0.04517671572267377)"
4,,,,"('approach', 0.025319501434684914)","('framework', 0.03260729766735881)","('adaptive', 0.0399011208056187)","('management', 0.04136685208599741)"
5,,,,"('process', 0.024878441359818614)","('governance', 0.026594291308692)","('local', 0.03370543973039212)","('loss', 0.04002260993665805)"
6,,,,"('impact', 0.024127716033664797)","('policy', 0.02600356935113988)","('variability', 0.03331730461742407)","('resilience', 0.03975815735540634)"
7,,,,"('planning', 0.021725902748594983)","('action', 0.025206168398345948)","('result', 0.03282523245578136)","('data', 0.03661724548886768)"
8,,,,"('uncertainty', 0.021308342734512802)","('approach', 0.0250519510412797)","('power', 0.03201325710746261)","('reduction', 0.035751828251775725)"
9,,,,"('information', 0.020029921502651097)","('institution', 0.02496638592882024)","('scale', 0.030725860985900424)","('policy', 0.03366215484496874)"
